Source,Target,Type,id,label,timeset,weight
10551,11092,Undirected,226401,,,45
10551,11979,Undirected,232900,,,45
10557,10829,Undirected,229623,,,45
10565,10530,Undirected,227906,,,45
10565,10535,Undirected,227903,,,45
10570,10535,Undirected,227911,,,45
10570,10558,Undirected,224532,,,45
10571,11503,Undirected,233345,,,45
10577,11269,Undirected,226965,,,45
10620,11567,Undirected,238750,,,45
10625,10575,Undirected,225502,,,45
10638,11647,Undirected,229820,,,45
10685,10699,Undirected,226779,,,45
10722,10706,Undirected,226782,,,45
10803,10800,Undirected,225226,,,45
10924,10873,Undirected,225697,,,45
11088,10556,Undirected,239407,,,45
11364,10625,Undirected,232317,,,45
11375,10553,Undirected,231715,,,45
11442,10551,Undirected,229966,,,45
11838,10679,Undirected,240557,,,45
12297,12307,Undirected,235091,,,45
12745,12748,Undirected,241900,,,45
10476,10838,Undirected,225496,,,44
10535,10601,Undirected,228213,,,44
10556,11841,Undirected,254338,,,44
10559,11269,Undirected,254499,,,44
10560,10769,Undirected,225146,,,44
10561,11269,Undirected,227009,,,44
10565,11996,Undirected,237844,,,44
10570,10541,Undirected,224534,,,44
10570,10577,Undirected,227907,,,44
10575,10774,Undirected,242034,,,44
10640,10643,Undirected,241156,,,44
10641,10638,Undirected,224761,,,44
10656,11996,Undirected,253505,,,44
10801,10806,Undirected,225247,,,44
10803,10806,Undirected,225222,,,44
10827,10607,Undirected,227007,,,44
11269,10588,Undirected,240506,,,44
11752,10890,Undirected,230592,,,44
11754,10890,Undirected,230596,,,44
11838,10561,Undirected,240560,,,44
11885,10551,Undirected,243799,,,44
12744,10800,Undirected,240423,,,44
10504,10566,Undirected,236439,,,43
10529,10525,Undirected,224324,,,43
10556,10810,Undirected,225194,,,43
10560,10805,Undirected,266415,,,43
10570,10829,Undirected,228229,,,43
10571,10605,Undirected,227938,,,43
10625,10619,Undirected,229233,,,43
10625,10909,Undirected,231963,,,43
10640,10530,Undirected,239990,,,43
10656,10657,Undirected,237677,,,43
10679,11086,Undirected,226357,,,43
10685,10921,Undirected,229297,,,43
10789,10805,Undirected,266368,,,43
10844,10543,Undirected,228647,,,43
10951,10845,Undirected,225764,,,43
11279,10560,Undirected,266815,,,43
11279,10561,Undirected,240517,,,43
11530,11165,Undirected,228967,,,43
11752,11754,Undirected,230449,,,43
11816,12297,Undirected,235054,,,43
11911,12757,Undirected,264211,,,43
12299,12297,Undirected,235064,,,43
10485,10486,Undirected,224149,,,42
10485,10494,Undirected,224174,,,42
10486,10487,Undirected,224161,,,42
10504,10804,Undirected,231092,,,42
10532,11434,Undirected,234562,,,42
10539,11375,Undirected,233288,,,42
10558,10873,Undirected,233671,,,42
10558,11553,Undirected,234222,,,42
10559,10679,Undirected,230951,,,42
10561,10790,Undirected,259724,,,42
10561,10804,Undirected,225180,,,42
10565,10541,Undirected,228283,,,42
10565,10558,Undirected,224627,,,42
10570,11211,Undirected,240287,,,42
10571,10549,Undirected,224527,,,42
10571,10586,Undirected,224513,,,42
10571,12522,Undirected,240342,,,42
10575,10789,Undirected,266761,,,42
10638,10546,Undirected,226039,,,42
10656,10551,Undirected,233498,,,42
10656,10654,Undirected,237676,,,42
10747,10541,Undirected,228330,,,42
10769,10775,Undirected,225083,,,42
10774,10711,Undirected,234886,,,42
10774,10804,Undirected,231113,,,42
10774,11269,Undirected,234778,,,42
10790,10560,Undirected,230883,,,42
10804,10589,Undirected,241663,,,42
11116,11092,Undirected,278867,,,42
11469,10675,Undirected,239201,,,42
11487,11532,Undirected,228992,,,42
11557,10585,Undirected,229045,,,42
12748,12384,Undirected,256869,,,42
10476,10839,Undirected,228806,,,41
10485,10491,Undirected,224175,,,41
10528,10525,Undirected,246913,,,41
10535,10831,Undirected,225448,,,41
10539,10570,Undirected,229842,,,41
10557,10476,Undirected,229387,,,41
10558,11300,Undirected,231786,,,41
10565,10539,Undirected,235531,,,41
10625,10621,Undirected,238283,,,41
10656,10558,Undirected,228577,,,41
10656,10659,Undirected,237675,,,41
10689,10712,Undirected,238023,,,41
10698,10885,Undirected,225633,,,41
10747,10538,Undirected,247966,,,41
10827,10599,Undirected,228445,,,41
10832,10476,Undirected,225351,,,41
11211,10571,Undirected,226750,,,41
11269,10675,Undirected,254154,,,41
11487,10551,Undirected,243939,,,41
11508,10476,Undirected,229364,,,41
11898,11911,Undirected,250514,,,41
10521,13496,Undirected,251084,,,40
10532,10476,Undirected,237717,,,40
10532,10924,Undirected,227965,,,40
10537,10476,Undirected,239138,,,40
10538,10570,Undirected,225382,,,40
10541,10635,Undirected,231722,,,40
10551,10577,Undirected,227870,,,40
10556,10605,Undirected,236376,,,40
10558,10605,Undirected,230971,,,40
10558,11507,Undirected,228620,,,40
10566,10790,Undirected,260156,,,40
10569,10556,Undirected,224540,,,40
10570,10556,Undirected,224531,,,40
10638,10873,Undirected,227962,,,40
10689,10708,Undirected,246369,,,40
10698,10718,Undirected,224915,,,40
10706,10699,Undirected,225702,,,40
10711,10584,Undirected,230918,,,40
10747,10535,Undirected,227880,,,40
10747,10556,Undirected,230823,,,40
10909,10910,Undirected,229191,,,40
11251,11257,Undirected,241281,,,40
11364,10843,Undirected,233546,,,40
11422,10551,Undirected,236713,,,40
11469,12749,Undirected,245537,,,40
11555,10570,Undirected,240325,,,40
11557,10543,Undirected,232823,,,40
11815,12300,Undirected,235085,,,40
11816,11748,Undirected,236261,,,40
11816,12300,Undirected,235055,,,40
12745,12746,Undirected,245511,,,40
10476,10831,Undirected,225340,,,39
10476,11930,Undirected,231513,,,39
10476,11983,Undirected,232308,,,39
10538,10530,Undirected,239987,,,39
10553,10557,Undirected,229017,,,39
10557,10558,Undirected,229119,,,39
10558,10989,Undirected,232618,,,39
10569,12897,Undirected,272895,,,39
10571,10543,Undirected,227933,,,39
10577,10747,Undirected,236406,,,39
10577,11559,Undirected,245710,,,39
10620,10622,Undirected,238860,,,39
10625,10530,Undirected,238483,,,39
10656,10844,Undirected,233508,,,39
10679,11283,Undirected,227023,,,39
10711,10780,Undirected,261884,,,39
10769,10779,Undirected,225140,,,39
10789,12745,Undirected,266370,,,39
10804,10675,Undirected,244438,,,39
10805,12136,Undirected,238743,,,39
10827,11366,Undirected,228562,,,39
10849,10698,Undirected,225549,,,39
11555,10747,Undirected,240312,,,39
11633,10873,Undirected,229773,,,39
12299,11816,Undirected,235078,,,39
12588,10569,Undirected,272894,,,39
12588,11088,Undirected,272906,,,39
12898,10569,Undirected,272900,,,39
10476,11247,Undirected,226853,,,38
10494,10486,Undirected,248751,,,38
10526,10529,Undirected,224277,,,38
10530,10535,Undirected,227942,,,38
10531,10525,Undirected,224643,,,38
10532,10556,Undirected,239440,,,38
10532,10571,Undirected,228001,,,38
